"UPRN","ORGANISATION","Sub_Building_No","Sub_Building_Name","Building_Number","THOROUGHFARE","LOCALITY","TOWN","POSTCODE","FULL_ADDRESS","WARD_NAME","PRIMARY_DESCRIPTION","SECONDARY_DESCRIPTION","TERTIARY_DESCRIPTION","X","Y","LOGICAL_STATUS","RPA_DESCRIPTION","PARTIAL_ADDRESS"
10023870329,"","","BOSCOMBE GARDENS PUBLIC CONVENIENCES","","BOSCOMBE CHINE GARDENS","","BOURNEMOUTH","","BOSCOMBE GARDENS PUBLIC CONVENIENCES, BOSCOMBE CHINE GARDENS, BOURNEMOUTH","EAST CLIFF AND SPRINGBOURNE","Commercial","Community Services","Public Conveniences",410780.8300,91521.0500,"Approved Preferred","Visual centre","BOSCOMBE GARDENS PUBLIC CONVENIENCES, BOSCOMBE CHINE GARDENS"
10023870330,"","PUBLIC CONVENIENCES","BOSCOMBE OVERCLIFF GARDENS","","BOSCOMBE CLIFF ROAD","","BOURNEMOUTH","BH5 1DH","PUBLIC CONVENIENCES, BOSCOMBE OVERCLIFF GARDENS, BOSCOMBE CLIFF ROAD, BOURNEMOUTH, BH5 1DH","BOSCOMBE WEST","Commercial","Community Services","Public Conveniences",411524.4900,91285.3300,"Approved Preferred","Visual centre","BOSCOMBE OVERCLIFF GARDENS, BOSCOMBE CLIFF ROAD"
10023870331,"","","ARGYLL GARDENS PUBLIC CONVENIENCES","","WEST OVERCLIFF DRIVE","","BOURNEMOUTH","","ARGYLL GARDENS PUBLIC CONVENIENCES, WEST OVERCLIFF DRIVE, BOURNEMOUTH","WESTBOURNE AND WEST CLIFF","Commercial","Community Services","Public Conveniences",407558.9978,90367.0020,"Approved Preferred","Visual centre","ARGYLL GARDENS PUBLIC CONVENIENCES, WEST OVERCLIFF DRIVE"
10023870332,"","","KNYVETON GARDENS PUBLIC CONVENIENCES","","KNYVETON GARDENS","","BOURNEMOUTH","","KNYVETON GARDENS PUBLIC CONVENIENCES, KNYVETON GARDENS, BOURNEMOUTH","EAST CLIFF AND SPRINGBOURNE","Commercial","Community Services","Public Conveniences",410169.2900,91829.1500,"Approved Preferred","Visual centre","KNYVETON GARDENS PUBLIC CONVENIENCES, KNYVETON GARDENS"
10023870333,"","","MEYRICK PARK PUBLIC CONVENIENCES","","MEYRICK PARK","","BOURNEMOUTH","","MEYRICK PARK PUBLIC CONVENIENCES, MEYRICK PARK, BOURNEMOUTH","TALBOT AND BRANKSOME WOODS","Commercial","Community Services","Public Conveniences",408380.2100,91942.5200,"Approved Preferred","Visual centre","MEYRICK PARK PUBLIC CONVENIENCES, MEYRICK PARK"
10023870334,"","","SEAFIELD ROAD PUBLIC CONVENIENCES","","SEAFIELD ROAD","","BOURNEMOUTH","","SEAFIELD ROAD PUBLIC CONVENIENCES, SEAFIELD ROAD, BOURNEMOUTH","EAST SOUTHBOURNE AND TUCKTON","Commercial","Community Services","Public Conveniences",414199.8200,91684.8600,"Approved Preferred","Visual centre","SEAFIELD ROAD PUBLIC CONVENIENCES, SEAFIELD ROAD"
10024391878,"HOLDENHURST ROAD PUBLIC CONVENIENCES","","HOLDENHURST ROAD PUBLIC CONVENIENCES","","HOLDENHURST ROAD","","BOURNEMOUTH","BH8 8BX","HOLDENHURST ROAD PUBLIC CONVENIENCES, HOLDENHURST ROAD, BOURNEMOUTH, BH8 8BX","EAST CLIFF AND SPRINGBOURNE","Commercial","Community Services","Public Conveniences",410548.8400,92521.1900,"Approved Preferred","Visual centre","HOLDENHURST ROAD PUBLIC CONVENIENCES, HOLDENHURST ROAD"
10024391879,"KINGS ROAD PUBLIC CONVENIENCES","","KINGS ROAD PUBLIC CONVENIENCES","","KINGS ROAD","","BOURNEMOUTH","BH3 7LD","KINGS ROAD PUBLIC CONVENIENCES, KINGS ROAD, BOURNEMOUTH, BH3 7LD","TALBOT AND BRANKSOME WOODS","Commercial","Community Services","Public Conveniences",409583.0400,93007.7000,"Approved Preferred","Visual centre","KINGS ROAD PUBLIC CONVENIENCES, KINGS ROAD"
10024391898,"CEMETRY JUNCTION PUBLIC CONVENIENCE","","CEMETRY JUNCTION PUBLIC CONVENIENCE","","WIMBORNE ROAD","","BOURNEMOUTH","BH3 7AA","CEMETRY JUNCTION PUBLIC CONVENIENCE, WIMBORNE ROAD, BOURNEMOUTH, BH3 7AA","TALBOT AND BRANKSOME WOODS","Commercial","Community Services","Public Conveniences",408933.2100,92563.3900,"Approved Preferred","Visual centre","CEMETRY JUNCTION PUBLIC CONVENIENCE, WIMBORNE ROAD"
10024391901,"WIMBORNE ROAD PUBLIC CONVENIENCES","","WIMBORNE ROAD PUBLIC CONVENIENCES","","WIMBORNE ROAD","","BOURNEMOUTH","BH9 2EX","WIMBORNE ROAD PUBLIC CONVENIENCES, WIMBORNE ROAD, BOURNEMOUTH, BH9 2EX","WINTON EAST","Commercial","Community Services","Public Conveniences",408659.6300,93891.2700,"Approved Preferred","Visual centre","WIMBORNE ROAD PUBLIC CONVENIENCES, WIMBORNE ROAD"
10024391903,"KINSON ROAD PUBLIC CONVENIENCE","","KINSON ROAD PUBLIC CONVENIENCE","","KINSON ROAD","","BOURNEMOUTH","BH10 4AJ","KINSON ROAD PUBLIC CONVENIENCE, KINSON ROAD, BOURNEMOUTH, BH10 4AJ","WALLISDOWN AND WINTON WEST","Commercial","Community Services","Public Conveniences",406531.5400,94145.8500,"Approved Preferred","Visual centre","KINSON ROAD PUBLIC CONVENIENCE, KINSON ROAD"
10024392984,"","PUBLIC CONVENIENCES","ATHLETIC CENTRE","","KINGS PARK DRIVE","","BOURNEMOUTH","BH7 7AF","PUBLIC CONVENIENCES, ATHLETIC CENTRE, BOURNEMOUTH, BH7 7AF","LITTLEDOWN AND IFORD","Commercial","Community Services","Public Conveniences",411783.6300,92714.3700,"Approved Preferred","Visual centre","ATHLETIC CENTRE, KINGS PARK DRIVE"
10024392985,"","PUBLIC CONVENIENCES","BOURNEMOUTH GARDENS TENNIS CENTRE","","CENTRAL GARDENS","","BOURNEMOUTH","BH2 6EY","PUBLIC CONVENIENCES, BOURNEMOUTH GARDENS TENNIS CENTRE, CENTRAL GARDENS, BOURNEMOUTH, BH2 6EY","CENTRAL","Commercial","Community Services","Public Conveniences",408199.8700,91403.3500,"Approved Preferred","Visual centre","BOURNEMOUTH GARDENS TENNIS CENTRE, CENTRAL GARDENS"
10024392986,"","","IFORD FOOTBALL PAVILLION PUBLIC CONVENIENCES","","IFORD LANE","","BOURNEMOUTH","BH6 5NF","IFORD FOOTBALL PAVILLION PUBLIC CONVENIENCES, IFORD LANE, BOURNEMOUTH, BH6 5NF","EAST SOUTHBOURNE AND TUCKTON","Commercial","Community Services","Public Conveniences",414449.9973,92691.9964,"Approved Preferred","Visual centre","IFORD FOOTBALL PAVILLION PUBLIC CONVENIENCES, IFORD LANE"
10024392987,"","PUBLIC CONVENIENCES","KINGS PARK PAVILION","","KINGS PARK CENTRAL DRIVE","","BOURNEMOUTH","BH1 4NN","PUBLIC CONVENIENCES, KINGS PARK PAVILION, BOURNEMOUTH, BH1 4NN","LITTLEDOWN AND IFORD","Commercial","Community Services","Public Conveniences",411335.3900,92632.7300,"Approved Preferred","Visual centre","KINGS PARK PAVILION, KINGS PARK CENTRAL DRIVE"
10024392988,"","PUBLIC CONVENIENCES","PAVILION","","ENDFIELD ROAD","","BOURNEMOUTH","BH9 1TH","PUBLIC CONVENIENCES, PAVILION, ENDFIELD ROAD, BOURNEMOUTH, BH9 1TH","MOORDOWN","Commercial","Community Services","Public Conveniences",409209.2200,94649.7400,"Approved Preferred","Visual centre","PAVILION, ENDFIELD ROAD"
10024392989,"","PUBLIC CONVENIENCES","MUSCLIFFE COMMUNITY CENTRE","","SHILLINGSTONE DRIVE","","BOURNEMOUTH","BH9 3LR","PUBLIC CONVENIENCES, MUSCLIFFE COMMUNITY CENTRE, SHILLINGSTONE DRIVE, BOURNEMOUTH, BH9 3LR","THROOP AND MUSCLIFF","Commercial","Community Services","Public Conveniences",410106.0000,95662.0000,"Approved Preferred","Visual centre","MUSCLIFFE COMMUNITY CENTRE, SHILLINGSTONE DRIVE"
10024392991,"","PUBLIC CONVENIENCES","SWANMORE BOWLING CLUB","","SWANMORE ROAD","","BOURNEMOUTH","BH7 6PD","PUBLIC CONVENIENCES, SWANMORE BOWLING CLUB, SWANMORE ROAD, BOURNEMOUTH, BH7 6PD","LITTLEDOWN AND IFORD","Commercial","Community Services","Public Conveniences",412947.2400,93111.4600,"Approved Preferred","Visual centre","SWANMORE BOWLING CLUB, SWANMORE ROAD"
10024392992,"","PUBLIC CONVENIENCES","WINTON RECREATION GROUND","","FITZHARRIS AVENUE","","BOURNEMOUTH","BH9 1BX","PUBLIC CONVENIENCES, WINTON RECREATION GROUND, FITZHARRIS AVENUE, BOURNEMOUTH, BH9 1BX","WINTON EAST","Commercial","Community Services","Public Conveniences",409458.9200,93362.0200,"Approved Preferred","Visual centre","WINTON RECREATION GROUND, FITZHARRIS AVENUE"
10024393278,"PUBLIC CONVENIENCES","PUBLIC CONVENIENCES","BOWLS PAVILION","","MILLHAMS ROAD","","BOURNEMOUTH","BH10 7LH","PUBLIC CONVENIENCES, BOWLS PAVILION, MILLHAMS ROAD, BOURNEMOUTH, BH10 7LH","KINSON NORTH","Commercial","Community Services","Public Conveniences",407111.0000,96881.0000,"Approved Preferred","Visual centre","BOWLS PAVILION, MILLHAMS ROAD"
10024393279,"PUBLIC CONVENIENCES","PUBLIC CONVENIENCES","REDHILL PARK BOWLING CLUB","","REDHILL AVENUE","","BOURNEMOUTH","BH9 2SW","PUBLIC CONVENIENCES, REDHILL PARK BOWLING CLUB, REDHILL AVENUE, BOURNEMOUTH, BH9 2SW","REDHILL AND NORTHBOURNE","Commercial","Community Services","Public Conveniences",408251.0000,94878.0000,"Approved Preferred","Visual centre","REDHILL PARK BOWLING CLUB, REDHILL AVENUE"
10024393281,"PUBLIC CONVENIENCES BLOCK A","PUBLIC CONVENIENCES BLOCK A","SLADES FARM SPORTS PAVILLION","","ENSBURY AVENUE","","BOURNEMOUTH","BH10 4HG","PUBLIC CONVENIENCES BLOCK A, SLADES FARM SPORTS PAVILLION, ENSBURY AVENUE, BOURNEMOUTH, BH10 4HG","WALLISDOWN AND WINTON WEST","Commercial","Community Services","Public Conveniences",407522.1800,94271.0500,"Approved Preferred","Visual centre","SLADES FARM SPORTS PAVILLION, ENSBURY AVENUE"
10024393282,"PUBLIC CONVENIENCES BLOCK B","PUBLIC CONVENIENCES BLOCK B","SLADES FARM SPORTS PAVILLION","","ENSBURY AVENUE","","BOURNEMOUTH","BH10 4HG","PUBLIC CONVENIENCES BLOCK B, SLADES FARM SPORTS PAVILLION, ENSBURY AVENUE, BOURNEMOUTH, BH10 4HG","WALLISDOWN AND WINTON WEST","Commercial","Community Services","Public Conveniences",407522.1800,94271.0500,"Approved Preferred","Visual centre","SLADES FARM SPORTS PAVILLION, ENSBURY AVENUE"
10024393283,"PUBLIC CONVENIENCES","PUBLIC CONVENIENCES","SOLENT MEADS GOLF CLUB","","ROLLS DRIVE","","BOURNEMOUTH","BH6 4NA","PUBLIC CONVENIENCES, SOLENT MEADS GOLF CLUB, ROLLS DRIVE, BOURNEMOUTH, BH6 4NA","EAST SOUTHBOURNE AND TUCKTON","Commercial","Community Services","Public Conveniences",415805.1700,91599.6600,"Approved Preferred","Visual centre","SOLENT MEADS GOLF CLUB, ROLLS DRIVE"
10024393284,"PUBLIC CONVENIENCES","PUBLIC CONVENIENCES","MEYRICK PARK GOLF CLUB AND SQUASH PAVILION","","MEYRICK PARK","","BOURNEMOUTH","BH2 6LH","PUBLIC CONVENIENCES, MEYRICK PARK GOLF CLUB AND SQUASH PAVILION, MEYRICK PARK, BOURNEMOUTH, BH2 6LH","TALBOT AND BRANKSOME WOODS","Commercial","Community Services","Public Conveniences",408281.0000,91743.0000,"Approved Preferred","Visual centre","MEYRICK PARK GOLF CLUB AND SQUASH PAVILION, MEYRICK PARK"
10024393285,"PUBLIC CONVENIENCES","PUBLIC CONVENIENCES","KINSON MANOR PLAYING FIELDS","","HORSHAM AVENUE","","BOURNEMOUTH","BH10 7EY","PUBLIC CONVENIENCES, KINSON MANOR PLAYING FIELDS, HORSHAM AVENUE, BOURNEMOUTH, BH10 7EY","KINSON NORTH","Commercial","Community Services","Public Conveniences",407650.0000,96852.0000,"Approved Preferred","Visual centre","KINSON MANOR PLAYING FIELDS, HORSHAM AVENUE"
10024394296,"CHRISTCHURCH BOROUGH COUNCIL","BLOCK 1","PUBLIC CONVENIENCES","","HENGISTBURY HEAD","","BOURNEMOUTH","BH23 4EW","CHRISTCHURCH BOROUGH COUNCIL, BLOCK 1, PUBLIC CONVENIENCES, BOURNEMOUTH, BH23 4EW","EAST SOUTHBOURNE AND TUCKTON","Commercial","Community Services","Public Conveniences",418135.3000,90888.0800,"Approved Preferred","Visual centre","PUBLIC CONVENIENCES, HENGISTBURY HEAD"
10024394297,"CHRISTCHURCH BOROUGH COUNCIL","BLOCK 2","PUBLIC CONVENIENCES","","HENGISTBURY HEAD","","BOURNEMOUTH","BH23 4EW","CHRISTCHURCH BOROUGH COUNCIL, BLOCK 2, PUBLIC CONVENIENCES, BOURNEMOUTH, BH23 4EW","EAST SOUTHBOURNE AND TUCKTON","Commercial","Community Services","Public Conveniences",418265.9600,91135.0300,"Approved Preferred","Visual centre","PUBLIC CONVENIENCES, HENGISTBURY HEAD"
10024394298,"CHRISTCHURCH BOROUGH COUNCIL","BLOCK 3","PUBLIC CONVENIENCES","","HENGISTBURY HEAD","","BOURNEMOUTH","BH23 4EW","CHRISTCHURCH BOROUGH COUNCIL, BLOCK 3, PUBLIC CONVENIENCES, BOURNEMOUTH, BH23 4EW","EAST SOUTHBOURNE AND TUCKTON","Commercial","Community Services","Public Conveniences",418281.5000,91305.8300,"Approved Preferred","Visual centre","PUBLIC CONVENIENCES, HENGISTBURY HEAD"
10024394299,"CHRISTCHURCH BOROUGH COUNCIL","BLOCK 4","PUBLIC CONVENIENCES","","HENGISTBURY HEAD","","BOURNEMOUTH","BH23 4EW","CHRISTCHURCH BOROUGH COUNCIL, BLOCK 4, PUBLIC CONVENIENCES, BOURNEMOUTH, BH23 4EW","EAST SOUTHBOURNE AND TUCKTON","Commercial","Community Services","Public Conveniences",418265.0000,91357.0000,"Approved Preferred","Visual centre","PUBLIC CONVENIENCES, HENGISTBURY HEAD"
10024394300,"","PUBLIC CONVENIENCES","SOVEREIGN CENTRE","600","CHRISTCHURCH ROAD","","BOURNEMOUTH","BH1 4SX","PUBLIC CONVENIENCES, SOVEREIGN CENTRE, 600 CHRISTCHURCH ROAD, BOURNEMOUTH, BH1 4SX","BOSCOMBE WEST","Commercial","Community Services","Public Conveniences",411328.2500,91950.6900,"Approved Preferred","Visual centre","600 CHRISTCHURCH ROAD"
10024394309,"","PUBLIC CONVENIENCES","QUEENS PARK GOLF COURSE AND PAVILION","","QUEENS PARK WEST DRIVE","","BOURNEMOUTH","BH8 9BY","PUBLIC CONVENIENCES, QUEENS PARK GOLF COURSE AND PAVILION, QUEENS PARK WEST DRIVE, BOURNEMOUTH, BH8 9BY","QUEEN'S PARK","Commercial","Community Services","Public Conveniences",410668.0000,93215.0000,"Approved Preferred","Visual centre","QUEENS PARK GOLF COURSE AND PAVILION, QUEENS PARK WEST DRIVE"
10024394790,"HORSESHOE COMMON PUBLIC CONVENIENCES","HORSESHOE COMMON PUBLIC CONVENIENCES","HORSESHOE COMMON","","OLD CHRISTCHURCH ROAD","","BOURNEMOUTH","BH1 1NL","HORSESHOE COMMON PUBLIC CONVENIENCES, HORSESHOE COMMON, OLD CHRISTCHURCH ROAD, BOURNEMOUTH, BH1 1NL","CENTRAL","Commercial","Community Services","Public Conveniences",409102.9500,91433.0000,"Approved Preferred","Visual centre","HORSESHOE COMMON, OLD CHRISTCHURCH ROAD"
10024395925,"","PUBLIC CONVENIENCES","APCOA CAR PARK","","AVENUE ROAD","","BOURNEMOUTH","BH2 5SH","PUBLIC CONVENIENCES, APCOA CAR PARK, AVENUE ROAD, BOURNEMOUTH, BH2 5SH","CENTRAL","Commercial","Community Services","Public Conveniences",408273.0000,91316.0000,"Approved Preferred","Visual centre","APCOA CAR PARK, AVENUE ROAD"
10024395942,"","PUBLIC CONVENIENCES","BOSCOMBE CLIFF BOWLING CLUB","","WOODLAND AVENUE","","BOURNEMOUTH","BH5 2DJ","PUBLIC CONVENIENCES, BOSCOMBE CLIFF BOWLING CLUB, WOODLAND AVENUE, BOURNEMOUTH, BH5 2DJ","BOSCOMBE EAST","Commercial","Community Services","Public Conveniences",412350.1500,91466.1100,"Approved Preferred","Visual centre","BOSCOMBE CLIFF BOWLING CLUB, WOODLAND AVENUE"
10024395949,"","","PUBLIC CONVENIENCES","","CHASESIDE","","BOURNEMOUTH","BH7 7DX","PUBLIC CONVENIENCES, CHASESIDE, BOURNEMOUTH, BH7 7DX","LITTLEDOWN AND IFORD","Commercial","Community Services","Public Conveniences",412346.3900,93937.2400,"Approved Preferred","Visual centre","PUBLIC CONVENIENCES, CHASESIDE"
10090818195,"","PUBLIC CONVENIENCES","CASTLEPOINT","","CASTLE LANE WEST","","BOURNEMOUTH","BH8 9UZ","PUBLIC CONVENIENCES, CASTLEPOINT, CASTLE LANE WEST, BOURNEMOUTH, BH8 9UZ","STROUDEN PARK","Commercial","Community Services","Public Conveniences",411116.9300,94764.3700,"Approved Preferred","Visual centre","CASTLEPOINT, CASTLE LANE WEST"
10090818655,"","FEMALE PUBLIC CONVENIENCES","WIMBORNE ROAD PUBLIC CONVENIENCES","","WIMBORNE ROAD","","BOURNEMOUTH","BH9 2EX","FEMALE PUBLIC CONVENIENCES, WIMBORNE ROAD PUBLIC CONVENIENCES, WIMBORNE ROAD, BOURNEMOUTH, BH9 2EX","WINTON EAST","Commercial","Community Services","Public Conveniences",408659.6300,93891.2700,"Approved Preferred","Visual centre","WIMBORNE ROAD PUBLIC CONVENIENCES, WIMBORNE ROAD"
10090818656,"","MALE PUBLIC CONVENIENCES","WIMBORNE ROAD PUBLIC CONVENIENCES","","WIMBORNE ROAD","","BOURNEMOUTH","BH9 2EX","MALE PUBLIC CONVENIENCES, WIMBORNE ROAD PUBLIC CONVENIENCES, WIMBORNE ROAD, BOURNEMOUTH, BH9 2EX","WINTON EAST","Commercial","Community Services","Public Conveniences",408659.6300,93891.2700,"Approved Preferred","Visual centre","WIMBORNE ROAD PUBLIC CONVENIENCES, WIMBORNE ROAD"
10090818733,"","CHANGING ROOMS","IFORD LANE CLUBHOUSE","","IFORD LANE","","BOURNEMOUTH","BH6 5NF","CHANGING ROOMS, IFORD LANE CLUBHOUSE, IFORD LANE, BOURNEMOUTH, BH6 5NF","EAST SOUTHBOURNE AND TUCKTON","Commercial","Community Services","Public Conveniences",414467.5900,92682.9800,"Approved Preferred","Visual centre","IFORD LANE CLUBHOUSE, IFORD LANE"
